InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,1,0,0
800,0,0,0
900,1,0,0
1000,1,0,0
1100,1,0,0
1200,1,0,0
1300,1,0,0
1400,2,0,0
1500,2,0,0
1600,2,0,0
1700,2,0,0
1800,2,0,0
1900,3,0,0
2000,4,0,0
2100,3,0,0
2200,4,0,0
2300,4,0,0
2400,5,0,0
2500,5,0,0
2600,5,0,0
2700,6,0,0
2800,7,0,0
2900,7,0,0
3000,7,0,0
3100,8,0,0
3200,8,0,0
3300,8,0,0
3400,10,0,0
3500,10,0,0
3600,11,0,0
3700,11,0,0
3800,11,0,0
3900,13,0,0
4000,13,0,0
4100,13,0,0
4200,14,0,0
4300,15,0,0
4400,15,0,0
4500,16,0,0
4600,17,0,0
4700,18,0,0
4800,19,0,0
4900,20,0,0
5000,22,0,0
5100,21,0,0
5200,22,0,0
5300,23,0,0
5400,23,0,0
5500,24,0,0
5600,25,0,0
5700,26,0,0
5800,26,0,0
5900,30,0,0
6000,29,0,0
6100,29,0,0
6200,31,0,0
6300,31,0,0
6400,33,0,0
6500,33,0,0
6600,35,0,0
6700,36,0,0
6800,47,0,0
6900,42,0,0
7000,49,0,0
7100,44,0,0
7200,44,0,0
7300,45,0,0
7400,45,0,0
7500,47,0,0
7600,56,0,0
7700,49,0,0
7800,50,0,0
7900,51,0,0
8000,53,0,0
8100,54,0,0
8200,57,0,0
8300,57,0,0
8400,58,0,0
8500,60,0,0
8600,62,0,0
8700,63,0,0
8800,64,0,0
8900,66,0,0
9000,69,0,0
9100,71,0,0
9200,72,0,0
9300,74,0,0
9400,74,0,0
9500,76,0,0
9600,78,0,0
9700,79,0,0
9800,80,0,0
9900,83,0,0
10000,83,0,0
10100,86,0,0
10200,88,0,0
10300,91,0,0
10400,95,0,0
10500,95,0,0
10600,97,0,0
10700,98,0,0
10800,100,0,0
10900,100,0,0
11000,102,0,0
11100,104,0,0
11200,108,0,0
11300,109,0,0
11400,112,0,0
11500,116,0,0
11600,119,0,0
11700,117,0,0
11800,135,0,1
11900,120,0,0
12000,122,0,0
12100,124,0,0
12200,127,0,0
12300,130,0,0
12400,135,0,0
12500,136,0,0
12600,138,0,0
12700,157,0,0
12800,140,0,0
12900,144,0,0
13000,145,0,0
13100,149,0,0
13200,175,0,0
13300,153,0,0
13400,153,0,0
13500,156,0,0
13600,190,0,0
13700,167,0,0
13800,175,0,0
13900,166,0,0
14000,166,0,0
14100,171,0,0
14200,174,0,0
14300,176,0,0
14400,178,0,0
14500,181,0,0
14600,184,0,0
14700,187,0,0
14800,188,0,0
14900,190,0,0
15000,198,0,0
15100,195,0,0
15200,198,0,0
15300,211,0,0
15400,205,0,0
15500,210,0,0
15600,211,0,0
15700,216,0,0
15800,215,0,0
15900,220,0,0
16000,237,0,0
16100,223,0,0
16200,223,0,0
16300,227,0,0
16400,231,0,0
16500,234,0,0
16600,239,0,0
16700,239,0,0
16800,243,0,0
16900,247,0,0
17000,250,0,0
17100,254,0,0
17200,317,0,0
17300,253,0,0
17400,328,0,0
17500,264,0,0
17600,266,0,0
17700,274,0,0
17800,276,0,0
17900,349,0,0
18000,304,0,0
18100,295,0,0
18200,286,0,0
18300,289,0,0
18400,292,0,0
18500,299,0,0
18600,296,0,0
18700,304,0,0
18800,306,0,0
18900,306,0,0
19000,315,0,0
19100,321,0,0
19200,389,0,0
19300,318,0,0
19400,326,0,0
19500,328,0,0
19600,333,0,0
19700,339,0,0
19800,341,0,0
19900,343,0,0
