InputIndices,TestResults
0,0
100,0
200,0
300,0
400,0
500,1
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,3
1300,3
1400,3
1500,3
1600,3
1700,3
1800,3
1900,4
2000,3
2100,3
2200,4
2300,3
2400,4
2500,4
2600,4
2700,4
2800,4
2900,5
3000,5
3100,5
3200,5
3300,5
3400,5
3500,6
3600,6
3700,6
3800,6
3900,8
4000,6
4100,7
4200,6
4300,9
4400,10
4500,8
4600,8
4700,9
4800,7
4900,8
5000,8
5100,8
5200,8
5300,8
5400,9
5500,9
5600,9
5700,9
5800,10
5900,11
6000,11
6100,11
6200,11
6300,11
6400,11
6500,11
6600,14
6700,12
6800,12
6900,12
7000,12
7100,14
7200,12
7300,12
7400,13
7500,13
7600,13
7700,13
7800,17
7900,14
8000,14
8100,14
8200,19
8300,15
8400,15
8500,18
8600,15
8700,16
8800,16
8900,17
9000,16
9100,18
9200,17
9300,17
9400,17
9500,17
9600,17
9700,17
9800,17
9900,17
10000,18
10100,18
10200,19
10300,18
10400,19
10500,18
10600,19
10700,18
10800,19
10900,19
11000,20
11100,24
11200,22
11300,20
11400,21
11500,20
11600,20
11700,20
11800,21
11900,21
12000,24
12100,27
12200,21
12300,21
12400,22
12500,27
12600,22
12700,23
12800,22
12900,24
13000,22
13100,24
13200,23
13300,24
13400,24
13500,24
13600,23
13700,25
13800,24
13900,24
14000,25
14100,25
14200,25
14300,25
14400,31
14500,25
14600,27
14700,28
14800,27
14900,27
15000,28
15100,28
15200,27
15300,28
15400,29
15500,29
15600,29
15700,36
15800,28
15900,30
16000,29
16100,29
16200,31
16300,30
16400,31
16500,40
16600,32
16700,32
16800,31
16900,32
17000,39
17100,33
17200,33
17300,35
17400,36
17500,35
17600,42
17700,32
17800,31
17900,32
18000,32
18100,32
18200,35
18300,34
18400,34
18500,38
18600,34
18700,32
18800,32
18900,34
19000,34
19100,35
19200,35
19300,35
19400,37
19500,34
19600,35
19700,35
19800,35
19900,36
