InputListSize,ResultsTest1,ResultsTest2
0,24,72
100,4824,5512
200,9624,10952
300,14424,15752
400,19224,21832
500,24024,26632
600,28824,31432
700,33624,38792
800,38424,43592
900,43224,48392
1000,48024,53192
1100,52824,57992
1200,57624,62792
1300,62424,72712
1400,67224,77512
1500,72024,82312
1600,76824,87112
1700,81624,91912
1800,86424,96712
1900,91224,101512
2000,96024,106312
2100,100824,111112
2200,105624,115912
2300,110424,120712
2400,115224,125512
2500,120024,130312
2600,124824,145352
2700,129624,150152
2800,134424,154952
2900,139224,159752
3000,144024,164552
3100,148824,169352
3200,153624,174152
3300,158424,178952
3400,163224,183752
3500,168024,188552
3600,172824,193352
3700,177624,198152
3800,182424,202952
3900,187224,207752
4000,192024,212552
4100,196824,217352
4200,201624,222152
4300,206424,226952
4400,211224,231752
4500,216024,236552
4600,220824,241352
4700,225624,246152
4800,230424,250952
4900,235224,255752
5000,240024,260552
5100,244824,265352
5200,249624,290632
5300,254424,295432
5400,259224,300232
5500,264024,305032
5600,268824,309832
5700,273624,314632
5800,278424,319432
5900,283224,324232
6000,288024,329032
6100,292824,333832
6200,297624,338632
6300,302424,343432
6400,307224,348232
6500,312024,353032
6600,316824,357832
6700,321624,362632
6800,326424,367432
6900,331224,372232
7000,336024,377032
7100,340824,381832
7200,345624,386632
7300,350424,391432
7400,355224,396232
7500,360024,401032
7600,364824,405832
7700,369624,410632
7800,374424,415432
7900,379224,420232
8000,384024,425032
8100,388824,429832
8200,393624,434632
8300,398424,439432
8400,403224,444232
8500,408024,449032
8600,412824,453832
8700,417624,458632
8800,422424,463432
8900,427224,468232
9000,432024,473032
9100,436824,477832
9200,441624,482632
9300,446424,487432
9400,451224,492232
9500,456024,497032
9600,460824,501832
9700,465624,506632
9800,470424,511432
9900,475224,516232
10000,480024,521032
10100,484824,525832
10200,489624,530632
10300,494424,576392
10400,499224,581192
10500,504024,585992
10600,508824,590792
10700,513624,595592
10800,518424,600392
10900,523224,605192
11000,528024,609992
11100,532824,614792
11200,537624,619592
11300,542424,624392
11400,547224,629192
11500,552024,633992
11600,556824,638792
11700,561624,643592
11800,566424,648392
11900,571224,653192
12000,576024,657992
12100,580824,662792
12200,585624,667592
12300,590424,672392
12400,595224,677192
12500,600024,681992
12600,604824,686792
12700,609624,691592
12800,614424,696392
12900,619224,701192
13000,624024,705992
13100,628824,710792
13200,633624,715592
13300,638424,720392
13400,643224,725192
13500,648024,729992
13600,652824,734792
13700,657624,739592
13800,662424,744392
13900,667224,749192
14000,672024,753992
14100,676824,758792
14200,681624,763592
14300,686424,768392
14400,691224,773192
14500,696024,777992
14600,700824,782792
14700,705624,787592
14800,710424,792392
14900,715224,797192
15000,720024,801992
15100,724824,806792
15200,729624,811592
15300,734424,816392
15400,739224,821192
15500,744024,825992
15600,748824,830792
15700,753624,835592
15800,758424,840392
15900,763224,845192
16000,768024,849992
16100,772824,854792
16200,777624,859592
16300,782424,864392
16400,787224,869192
16500,792024,873992
16600,796824,878792
16700,801624,883592
16800,806424,888392
16900,811224,893192
17000,816024,897992
17100,820824,902792
17200,825624,907592
17300,830424,912392
17400,835224,917192
17500,840024,921992
17600,844824,926792
17700,849624,931592
17800,854424,936392
17900,859224,941192
18000,864024,945992
18100,868824,950792
18200,873624,955592
18300,878424,960392
18400,883224,965192
18500,888024,969992
18600,892824,974792
18700,897624,979592
18800,902424,984392
18900,907224,989192
19000,912024,993992
19100,916824,998792
19200,921624,1003592
19300,926424,1008392
19400,931224,1013192
19500,936024,1017992
19600,940824,1022792
19700,945624,1027592
19800,950424,1032392
19900,955224,1037192
